temperature_C,pCO2_bar,pH,wall_shear_stress_Pa,NaCl_wt_pct,corrosion_rate_dewaard1975_mmpy,corrosion_rate_dewaard1995_mmpy,corrosion_rate_target_mmpy,model_disagreement_ratio,regime
97.72,0.1189,4.33,3.06,14.73,0.81257,4.53993,1.92068,5.5871,conventional_oilfield_range
17.61,1.844,3.59,2.991,10.11,0.41376,5.80559,1.54988,14.0314,conventional_oilfield_range
99.23,4.3134,4.16,19.156,16.19,63.6548,180.90513,107.3102,2.842,conventional_oilfield_range
106.23,1.0489,3.97,121.055,6.73,135.22181,737.95632,315.89206,5.4574,conventional_oilfield_range
127.89,6.4741,5.92,38.722,10.72,319.99388,199.50372,252.66573,1.6039,conventional_oilfield_range
85.05,30.7761,5.36,75.016,11.55,385.39292,438.60958,411.14113,1.1381,high_pressure_gas_CO2
38.05,0.7382,3.74,3.211,2.02,0.60584,10.36164,2.5055,17.1029,conventional_oilfield_range
57.9,1.2899,4.13,3.81,18.73,1.17958,7.75856,3.0252,6.5774,conventional_oilfield_range
29.82,15.395,3.99,6.695,19.79,3.10743,19.91227,7.86613,6.4079,high_pressure_gas_CO2
104.27,33.7719,5.83,3.151,0.64,72.62954,61.35605,66.75524,1.1837,high_pressure_gas_CO2
35.59,67.4107,6.13,4.839,13.11,8.81583,13.66554,10.97603,1.5501,high_pressure_gas_CO2
71.53,0.6232,4.24,16.657,5.25,4.78654,35.15674,12.97224,7.3449,conventional_oilfield_range
62.91,0.4549,6.49,12.846,1.82,3.86742,4.57817,4.20781,1.1838,conventional_oilfield_range
95.98,23.7814,4.77,1.375,7.63,25.9562,37.53571,31.21353,1.4461,high_pressure_gas_CO2
145.81,38.2243,3.53,37.013,13.63,1033.29227,3754.02817,1969.51982,3.6331,high_pressure_gas_CO2
97.94,0.2161,4.8,9.713,19.08,3.43531,11.49169,6.28311,3.3452,conventional_oilfield_range
77.58,0.3435,6.24,78.402,5.97,15.76215,21.72943,18.50683,1.3786,conventional_oilfield_range
27.16,19.388,5.12,49.472,10.61,29.84216,68.85601,45.33004,2.3073,high_pressure_gas_CO2
7.82,61.2768,6.14,64.533,6.15,44.1069,45.39496,44.74629,1.0292,high_pressure_gas_CO2
