id,title,source_url,topic_category,notes
R001,"Neural network modelling of high pressure CO2 corrosion in pipeline steels",https://www.sciencedirect.com/science/article/abs/pii/S0957582018304750,ML prediction,ANN model for high-pressure CO2 corrosion of pipeline steel
R002,"Simulation of CO2 Corrosion of Carbon Steel in High Pressure Conditions",https://pdfs.semanticscholar.org/d036/34ee548e84d167d68569d6f441bb83db0e3c.pdf,Mechanistic modeling,Simulation study of high pCO2 corrosion
R003,"A comprehensive model for predicting CO2 corrosion rate in oil and gas production and transportation systems",https://www.sciencedirect.com/science/article/abs/pii/S001346860901041X,Mechanistic modeling,Comprehensive mechanistic CO2 corrosion model
R004,"Carbon steel pipeline CO2 erosion-corrosion damage prediction model and numerical simulation research",https://www.sciencedirect.com/science/article/abs/pii/S294989102400928X,Erosion-corrosion,Numerical simulation of erosion-corrosion damage
R005,"Development of a Predictive Model for Carbon Dioxide Corrosion Rate and Severity Based on Machine Learning Algorithms",https://pmc.ncbi.nlm.nih.gov/articles/PMC11356124/,ML prediction,Open-access ML model for CO2 corrosion rate and severity
R006,"State-of-the-art overview of pipeline steel corrosion in impure dense CO2 for CCS transportation: Mechanisms and Models",https://journals.sagepub.com/doi/abs/10.1080/1478422X.2017.1304690,CCS / dense-phase review,Review of mechanisms and models for CCS pipelines
R007,"Modelling CO2 Corrosion of Pipeline Steels (MSc/PhD thesis, Muhammad Hashim Abbas)",https://files01.core.ac.uk/download/pdf/153780726.pdf,Mechanistic modeling,Thesis on modelling CO2 corrosion of pipeline steels
R008,"CO2 corrosion of mild steel (book chapter)",https://www.sciencedirect.com/science/chapter/edited-volume/abs/pii/B9780081011058000073,Fundamentals review,Book chapter overview of CO2 corrosion of mild steel
R009,"Modeling of uniform CO2 corrosion of mild steel in gas transportation systems: A review",https://www.sciencedirect.com/science/article/abs/pii/S1875510015303437,Mechanistic modeling,Review classifying empirical/semi-empirical/mechanistic models
R010,"On the mechanism of carbon dioxide corrosion of mild steel: Experimental investigation and mathematical modeling at elevated pressures and non-ideal solutions",https://www.sciencedirect.com/science/article/abs/pii/S0010938X19309680,Mechanistic modeling,Elevated pressure non-ideal solution modeling
R011,"Effects of Multiphase Flow on Internal CO2 Corrosion of Mild Steel Pipelines",https://pubs.acs.org/doi/10.1021/ef3002795,Flow effects,Multiphase flow effects on internal corrosion
R012,"Mechanism of CO2 Corrosion of Mild Steel: A New Narrative",https://onepetro.org/NACECORR/proceedings-abstract/CORR18/All-CORR18/NACE-2018-11232/126534,Fundamentals review,Revisits classical CO2 corrosion mechanism narrative
R013,"Corrosion of Mild Steel in an Aqueous CO2 Environment - Basic Electrochemical Mechanisms Revisited",https://onepetro.org/NACECORR/proceedings-abstract/CORR15/All-CORR15/123283,Fundamentals review,Electrochemical mechanism re-examination
R014,"Research Progress on Major Influencing Factors of Corrosion Behavior of Pipeline Steel in Supercritical CO2 Environment",https://pmc.ncbi.nlm.nih.gov/articles/PMC12155744/,Supercritical CO2,Open-access review of supercritical CO2 influencing factors
R015,"Mathematical modeling of uniform CO2 corrosion (Kahyarian et al.)",https://www.researchgate.net/profile/Aria-Kahyarian/publication/318032813_Mathematical_modeling_of_uniform_CO_2_corrosion/links/59ce50880f7e9b4fd7e1b175/Mathematical-modeling-of-uniform-CO-2-corrosion.pdf,Mechanistic modeling,Mathematical modeling chapter on uniform CO2 corrosion
R016,"Discussion of the CO2 corrosion mechanism between low partial pressure and supercritical condition",https://www.sciencedirect.com/science/article/abs/pii/S0010938X12001059,Mechanistic modeling,Compares mechanisms across pCO2 ranges
R017,"CO2 Corrosion Fundamentals: de Waard-Milliams Model & Mitigation Guide",https://midstreamcalculator.com/engineering/pipeline-ops/co2-corrosion-fundamentals.html,Empirical model reference,Practitioner guide summarizing de Waard-Milliams model
R018,"CO2 Corrosion Rate Calculator: de Waard-Milliams Model (NACE SP0106)",https://midstreamcalculator.com/calculators/pipeline-ops/co2-corrosion.html,Empirical model reference,Implementation reference for de Waard-Milliams / NACE SP0106
R019,"On the Dependence of Steel Corrosion in Oxygen-Free Aqueous Media on pH and the Pressure of CO2",https://link.springer.com/article/10.1023/A:1025859122142,Fundamentals,pH and CO2 pressure dependence study
R020,"Improvements on de Waard-Milliams Corrosion Prediction and Applications to Corrosion Management",https://onepetro.org/NACECORR/proceedings/CORR02/CORR02/NACE-02235/114610,Empirical model,Updates/corrections to de Waard-Milliams correlation
R021,"De Waard and Milliams Corrosion Rate Calculation Method Basics",https://www.studocu.com/en-ca/document/university-of-alberta/engineering-mechanics/de-waard-and-milliams-calculation-method/86625271,Empirical model reference,Teaching note summarizing calculation method
R022,"De Waard Model: Corrosion Rate Calculation",https://theengineeringguide.com/f/de-waard-model-corrosion-rate-calculation,Empirical model reference,Engineering guide to de Waard model
R023,"De Waard and Milliams method (notes)",https://www.academia.edu/32439741/De_Waard_and_Milliams_method,Empirical model reference,Academia.edu notes on the method
R024,"NORSOK M-506:2017 - CO2 corrosion rate calculation model",https://www.topstds.com/standards/norsok-m-5062017,Empirical model / standard,Industry standard model for CO2 corrosion rate
R025,"NORSOK M-506 Corrosion Rate Model (spreadsheet/documentation)",https://www.scribd.com/document/468766193/Norsok-M-506-CO2-Corrosion-Rate-xls,Empirical model / standard,Implementation spreadsheet for NORSOK M-506
R026,"NORSOK M-506: CO2 corrosion rate calculation model (GlobalSpec entry)",https://standards.globalspec.com/std/10219751/m-506,Empirical model / standard,Standard catalog entry
R027,"NORSOK M-506 CO2 corrosion rate calculation model (2017 edition handle)",https://handle.standard.no/en/sectors/energi-og-klima/petroleum/norsok-standard-categories/m-material/m-5062/,Empirical model / standard,Official standard registry entry
R028,"NORSOK STANDARD M-506 Rev. 2 (June 2005), CO2 corrosion rate calculation model",https://00448349299399495787.googlegroups.com/attach/207f0a05d64cb52e/NORSOK%20CO2%20M-506.pdf,Empirical model / standard,Full text of earlier NORSOK M-506 revision
R029,"Development of machine learning algorithms for predicting internal corrosion of crude oil and natural gas pipelines",https://www.sciencedirect.com/science/article/abs/pii/S0098135423002284,ML prediction,ML algorithms trained on simulated corrosion scenarios (OLI Studio)
R030,"Development of machine learning algorithms for predicting internal corrosion (preprint/report)",https://www.lamar.edu/midstreamcenter/_files/documents/corrosion-cace.pdf,ML prediction,Open report version of ML corrosion prediction study
R031,"Machine learning-based corrosion prediction in supercritical carbon dioxide transport pipelines: Model evaluation and experimental validation",https://www.sciencedirect.com/science/article/pii/S0952197626005750,ML prediction / CCS,ML corrosion model validated experimentally for sCO2 pipelines
R032,"Prediction of the internal corrosion rate for oil and gas pipeline: Implementation of ensemble learning techniques",https://www.sciencedirect.com/science/article/abs/pii/S1875510022000191,ML prediction,Ensemble learning (RF, AdaBoost, GBRT, XGBoost) for corrosion rate
R033,"Systematic Corrosion Prediction Techniques in Oil and Gas Pipelines Using Machine Learning Methods",https://www.sciencepublishinggroup.com/article/10.11648/j.pse.20250902.22,ML prediction review,Survey of ML techniques applied to pipeline corrosion
R034,"Ensemble Machine Learning for CO2 Corrosion Rate Prediction with Heterogeneous Datasets",https://www.researchsquare.com/article/rs-8896642/v1,ML prediction,Ensemble ML on heterogeneous CO2 corrosion datasets
R035,"Pipeline corrosion prediction and uncertainty analysis with an ensemble Bayesian neural network approach",https://www.sciencedirect.com/science/article/pii/S0957582024005226,ML prediction,Bayesian neural network with uncertainty quantification
R036,"A comprehensive review of metal corrosion in a supercritical CO2 environment",https://www.sciencedirect.com/science/article/abs/pii/S1750583619302233,Supercritical CO2 review,Broad review of metal corrosion in sCO2
R037,"Advances in Synergistic Corrosion Mechanisms of and Management Strategies for Impurity Gases During Supercritical CO2 Pipeline Transportation",https://pmc.ncbi.nlm.nih.gov/articles/PMC12566176/,Supercritical CO2 / impurities,Open-access review of impurity-gas synergistic effects (NO2, SO2, H2S, O2)
R038,"State of the aqueous phase in liquid and supercritical CO2 as relevant to CCS pipelines",https://www.sciencedirect.com/science/article/abs/pii/S1750583611002362,CCS / fundamentals,Aqueous phase behavior in dense CO2 streams
R039,"Internal corrosion of carbon steel pipelines for dense phase CO2 transport in Carbon Capture and Storage (CCS) - A review",https://www.researchgate.net/publication/302503438_Internal_corrosion_of_carbon_steel_pipelines_for_dense_phase_CO_transport_in_Carbon_Capture_and_Storage_CCS_-_A_review,CCS / dense-phase review,Comprehensive CCS pipeline corrosion review (Int. Materials Reviews)
R040,"Progress in Corrosion Protection Research for Supercritical CO2 Transportation Pipelines",https://www.mdpi.com/2079-6412/14/11/1378,Supercritical CO2 / mitigation,Open-access MDPI review of protection strategies
R041,"Effect of impurities on supercritical CO2 corrosion in carbon capture and storage: A review",https://www.sciencedirect.com/science/article/abs/pii/S2949891025004506,CCS / impurities,Review of impurity effects on sCO2 corrosion
R042,"Study on the Growth of Corrosion Scales on X65 Steel in CO2 Top-of-Line Corrosion Environment",https://onepetro.org/NACECORR/proceedings-abstract/CORR13/CORR13/NACE-2013-2455/139159,Top-of-line corrosion,Scale growth study under TLC conditions
R043,"Corrosion mechanism of X65 steel exposed to H2S/CO2 brine and H2S/CO2 vapor corrosion environments",https://www.sciencedirect.com/science/article/abs/pii/S1875510022003602,Sour corrosion,Comparative brine vs vapor sour corrosion mechanisms
R044,"Failure analysis of a wet gas pipeline due to localised CO2 corrosion",https://www.sciencedirect.com/science/article/abs/pii/S1350630717308774,Failure analysis,Field failure case study of localized CO2 corrosion
R045,"Critical water content for corrosion of X65 mild steel in gaseous, liquid and supercritical CO2 stream",https://www.sciencedirect.com/science/article/abs/pii/S1750583618306935,Supercritical CO2,Critical water content thresholds across CO2 phases
R046,"Electrochemical Investigation of the Corrosion of Different Microstructural Phases of X65 Pipeline Steel under Saturated Carbon Dioxide Conditions",https://pmc.ncbi.nlm.nih.gov/articles/PMC5455576/,Microstructure effects,Open-access electrochemical study of X65 microstructural phases
R047,"Study on under-deposit corrosion behavior of X65 steel in simulated CO2 saturated produced water",https://www.sciencedirect.com/science/article/pii/S1452398124002724,Under-deposit corrosion,CaCO3 scale and under-deposit corrosion study
R048,"Probing the initial corrosion behavior of X65 steel in CCUS-EOR environments with impure supercritical CO2 fluids",https://www.sciencedirect.com/science/article/abs/pii/S0010938X21003516,CCUS-EOR,Initial-stage corrosion in impure sCO2 (CCUS-EOR)
R049,"Understanding the Formation of Protective FeCO3 on Carbon Steel Pipelines during CO2 Corrosion (PhD thesis)",https://etheses.whiterose.ac.uk/id/eprint/17608/,Corrosion product films,Open-access thesis on FeCO3 film formation
R050,"The formation of FeCO3 and Fe3O4 on carbon steel and their protective capabilities against CO2 corrosion at elevated temperature and pressure",https://www.sciencedirect.com/science/article/abs/pii/S0010938X18317943,Corrosion product films,Comparative protectiveness of FeCO3 vs Fe3O4
R051,"In situ SR-XRD study of FeCO3 precipitation kinetics onto carbon steel in CO2-containing environments: The influence of brine pH",https://www.sciencedirect.com/science/article/abs/pii/S0013468617320091,Corrosion product films,In-situ synchrotron XRD kinetics study, pH dependence
R052,"The early stages of FeCO3 scale formation kinetics in CO2 corrosion",https://www.sciencedirect.com/science/article/abs/pii/S0254058418303468,Corrosion product films,Nucleation/growth kinetics of FeCO3 scale
R053,"The Formation of Protective FeCO3 Corrosion Product Layers in CO2 Corrosion",https://onepetro.org/NACECORR/proceedings-abstract/CORR96/All-CORR96/NACE-96006/113083,Corrosion product films,Classic NACE paper on protective FeCO3 layers
R054,"Augmentation of Polymer-FeCO3 Microlayers on Carbon Steel for Enhanced Corrosion Protection in Hydrodynamic CO2 Corrosion Environments",https://pmc.ncbi.nlm.nih.gov/articles/PMC11270732/,Mitigation / films,Open-access study of polymer-FeCO3 composite layers
R055,"Imidazoline As a Volatile Corrosion Inhibitor for Mitigation of Top- and Bottom-of-the-Line CO2 Corrosion in Carbon Steel Pipelines",https://pmc.ncbi.nlm.nih.gov/articles/PMC11171462/,Inhibitors,Open-access study of volatile imidazoline inhibitor (TLC/BLC)
R056,"A novel high-efficient imidazoline derivative corrosion inhibitor for carbon steel in CO2-containing oilfield produced water",https://link.springer.com/article/10.1186/s13065-025-01457-7,Inhibitors,Experimental + theoretical inhibitor study
R057,"Investigation on the efficiency of corrosion inhibitor in CO2 corrosion of carbon steel in the presence of iron carbonate scale",https://www.sciencedirect.com/science/article/abs/pii/S1875510018305109,Inhibitors,Inhibitor efficiency with FeCO3 scale present
R058,"A new exceptional imidazoline derivative corrosion inhibitor for carbon steel in supercritical CO2 environment",https://www.sciencedirect.com/science/article/abs/pii/S0010938X24008606,Inhibitors / supercritical,Imidazoline inhibitor performance in sCO2
R059,"High-Efficiency Integrated Corrosion and Scale Inhibitor for Carbon Steel in CO2-Containing Formation Water",https://link.springer.com/article/10.1007/s11665-025-12046-z,Inhibitors,Combined corrosion/scale inhibitor study
R060,"Impact of corrosion products on performance of imidazoline corrosion inhibitor on X65 carbon steel in CO2 environments",https://www.sciencedirect.com/science/article/abs/pii/S0010938X2100189X,Inhibitors,Effect of corrosion-product layer on inhibitor performance
R061,"Corrosion of Carbon Steel In High CO2 Environment: Flow Effect",https://onepetro.org/NACECORR/proceedings-abstract/CORR11/CORR11/NACE-11242/119614,Flow effects,NACE study of flow effect at high pCO2
R062,"Effect of Flow Velocity on Carbon Dioxide Corrosion Behavior in Oil and Gas Environments",https://www.researchgate.net/publication/240846084_Effect_of_Flow_Velocity_on_Carbon_Dioxide_Corrosion_Behavior_in_Oil_and_Gas_Environments,Flow effects,Velocity dependence of CO2 corrosion
R063,"The Rotating Cylinder Electrode for Examining Velocity-Sensitive Corrosion - A Review",https://www.researchgate.net/publication/250394855_The_Rotating_Cylinder_Electrode_for_Examining_Velocity-Sensitive_Corrosion-A_Review,Methodology,Review of RCE methodology for flow-sensitive corrosion
R064,"Comparison of the Rotating Cylinder and Pipe Flow Tests for Flow-Sensitive Carbon Dioxide Corrosion",https://www.researchgate.net/publication/237473312_Comparison_of_the_Rotating_Cylinder_and_Pipe_Flow_Tests_for_Flow-Sensitive_Carbon_Dioxide_Corrosion,Methodology,RCE vs pipe flow loop comparison; shear-stress scaling
R065,"The Effect of Turbulent Flow on Corrosion of Mild Steel in High Partial CO2 Environments (PhD thesis, A. Mohammed Nor)",https://www.ohio.edu/engineering/sites/ohio.edu.engineering/files/sites/engineering/The-Effect-of-Turbulent-Flow-on-Corrosion-of-Mild-Steel-in-High-Partial-CO2-Environments_A-Mohammed-Nor_2013_PhD.pdf,Flow effects,Open-access PhD thesis on turbulent flow effects
R066,"The rotating cylinder electrode: a review of development",https://www.researchgate.net/publication/227113571_The_rotating_cylinder_electrode_a_review_of_development,Methodology,Historical review of RCE development
R067,"Analysis of crude oil effect for CO2 corrosion of carbon steel - A rotating cylinder electrode approach",https://www.sciencedirect.com/science/article/abs/pii/S2949891023006723,Flow effects / oil wetting,Crude-oil wetting effects studied via RCE
R068,"Rotating Cylinder Electrode for Velocity Sensitivity Testing",https://content.ampp.org/corrosion/article-abstract/40/5/220/4534/Rotating-Cylinder-Electrode-for-Velocity?redirectedFrom=fulltext,Methodology,AMPP/NACE methodology paper
R069,"Flow Accelerated Corrosion of Carbon Steel with Droplet Impingement Using a Modified Rotating Cylinder Electrode Experiment",https://content.ampp.org/corrosion/article-abstract/76/2/202/2038/Flow-Accelerated-Corrosion-of-Carbon-Steel-with?redirectedFrom=fulltext,Flow effects,Droplet impingement / flow-accelerated corrosion
R070,"Corrosion Rate Models for Oil and Gas Pipeline Systems: A Numerical Approach",https://www.academia.edu/95025319/Corrosion_Rate_Models_for_Oil_and_Gas_Pipeline_Systems_A_Numerical_Approach,Mechanistic modeling,Numerical corrosion-rate modeling approach
R071,"Neural network modelling of high pressure CO2 corrosion in pipeline steels (preprint)",https://www.academia.edu/68496011/Neural_network_modelling_of_high_pressure_CO2_corrosion_in_pipeline_steels,ML prediction,Open preprint version of R001
R072,"Prediction Model of Corrosion Rate for Oil and Gas Pipelines Based on Knowledge Graph and Neural Network",https://www.mdpi.com/2227-9717/12/11/2367,ML prediction,Open-access MDPI knowledge-graph + NN model
R073,"Natural Gas Pipeline Corrosion Rate Prediction Model Based on BP Neural Network",https://link.springer.com/chapter/10.1007/978-3-642-28592-9_47,ML prediction,Backpropagation NN model for natural gas pipelines
R074,"Top-of-line corrosion via physics-guided machine learning: A methodology integrating field data with theoretical models",https://www.sciencedirect.com/science/article/abs/pii/S0920410522004326,ML prediction (hybrid),Physics-guided ML combining field data + theory
R075,"Advancements in prediction models for corrosion in oil and gas pipelines",https://www.degruyterbrill.com/document/doi/10.1515/corrrev-2024-0119/html?lang=en,Review,Recent review of corrosion prediction model advancements
R076,"Detrimental Effects of Acetic Acid on Corrosion of Carbon Steel Pipelines Transporting Wet Gas",https://www.researchgate.net/publication/266662569_Detrimental_Effects_of_Acetic_Acid_on_Corrosion_of_Carbon_Steel_Pipelines_Transporting_Wet_Gas,Organic acids,Acetic acid effect on wet-gas pipeline corrosion
R077,"Role of Acetic Acid in CO2 Top of the Line Corrosion of Carbon Steel",https://www.researchgate.net/publication/288113859_Role_of_acetic_acid_in_CO_top_of_the_line_corrosion_of_carbon_steel,Organic acids / TLC,Acetic acid contribution to TLC severity
R078,"Effect of acetic acid in CO2-H2S corrosion of carbon steel at elevated temperature",https://www.sciencedirect.com/science/article/abs/pii/S2214785322000645,Organic acids / sour corrosion,Combined acetic acid + H2S + CO2 study
R079,"Effect of Organic Acids in CO2 Corrosion",https://www.researchgate.net/publication/237508787_Effect_of_organic_acids_in_CO2_corrosion,Organic acids,General review of organic acid effects
R080,"Investigation of Acetic Acid Effect on Carbon Steel Corrosion in CO2-H2S Medium: Mechanistic Reaction Pathway and Kinetics",https://pmc.ncbi.nlm.nih.gov/articles/PMC7254524/,Organic acids / sour corrosion,Open-access mechanistic + kinetic study
R081,"Effect of Acetic Acid on CO2 Corrosion of Carbon Steel in Vapor-Water Two-Phase Horizontal Flow",https://www.tandfonline.com/doi/abs/10.1080/00986440600642975,Organic acids / multiphase flow,Two-phase flow with acetic acid
R082,"Effect of temperature on CO2 corrosion of carbon steel (Yin et al.)",https://www.researchgate.net/publication/230094589_Effect_of_temperature_on_CO2_corrosion_of_carbon_steel,Temperature effects,Temperature dependence study
R083,"Effect of pH on CO2 corrosion of mild steel at elevated temperatures",https://www.researchgate.net/publication/288629645_Effect_of_pH_on_CO2_corrosion_of_mild_steel_at_elevated_temperatures,pH effects,pH dependence at elevated temperature
R084,"Carbon Dioxide Corrosion Mechanisms: Historical Development and Key Parameters of CO2-H2O Systems",https://onlinelibrary.wiley.com/doi/10.1155/2024/5537767,Fundamentals review,Open-access historical/parametric review (Fonseca 2024)
R085,"The effects of temperature and pH on the characteristics of corrosion product in CO2 corrosion of grade X70 steel",https://www.academia.edu/5164616/The_effects_of_temperature_and_pH_on_the_characteristics_of_corrosion_product_in_CO2_corrosion_of_grade_X70_steel,Temperature & pH effects,X70 steel corrosion-product characterization
R086,"Effect of temperature on CO2 corrosion of carbon steel (Surface and Interface Analysis, Yin 2009)",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/sia.3057,Temperature effects,Surface analysis of temperature effect
R087,"New insights on the role of CO2 in the mechanism of carbon steel corrosion",https://www.sciencedirect.com/science/article/abs/pii/S0010938X16307831,Fundamentals,Reassessment of CO2's mechanistic role
R088,"Low Temperature and High Salt Concentration Effects on General CO2 Corrosion for Carbon Steel (MS thesis)",https://www.ohio.edu/engineering/sites/ohio.edu.engineering/files/sites/engineering/Low-Temperature-and-High-Salt-Concentration-Effect-on-General-CO2-Corrosion-for-Carbon-Steel_2006_MS.pdf,Salinity / temperature,Open-access MS thesis on low-T / high-salinity corrosion
R089,"CO2 Corrosion Mitigation in Hydrocarbon Pipelines",https://inspenet.com/en/articulo/corrosion-by-co2-hydrocarbon-pipes/,Mitigation overview,Practitioner overview of CO2 corrosion mitigation
R090,"Understanding Pitting Corrosion Behaviour of Carbon Steel (X-65) in CO2 Saturated NaCl Brine: The Temperature Effect",https://www.researchgate.net/publication/284438030_Understanding_Pitting_Corrosion_Behaviour_of_Carbon_Steel_X-65_in_CO2_Saturated_NaCl_Brine_The_Temperature_Effect_NACE_International,Pitting corrosion,Temperature effect on pitting in X65 steel
R091,"Early stages of pitting corrosion of carbon steel in sour corrosion environments: The influence of CO2, H2S and temperature",https://www.researchgate.net/publication/284437909_Early_stages_of_pitting_corrosion_of_carbon_steel_in_sour_corrosion_environments_The_influence_of_CO2_H2S_and_temperature,Pitting / sour corrosion,Initiation-stage pitting study
R092,"Understanding the pitting corrosion mechanism of pipeline steel in an impure supercritical CO2 environment",https://www.sciencedirect.com/science/article/abs/pii/S0896844617307921,Pitting / supercritical,Pitting mechanism in impure sCO2
R093,"On the Corrosion Mechanism of CO2 Transport Pipeline Steel Caused by Condensate: Synergistic Effects of NO2 and SO2",https://pmc.ncbi.nlm.nih.gov/articles/PMC6385170/,CCS / impurities,Open-access study on NO2/SO2 synergy in condensate corrosion
R094,"Influence of Hydrogen Sulfide on CO2 Corrosion in Pipeline Steel",https://www.ijert.org/influence-of-hydrogen-sulfide-on-co2-corrosion-in-pipeline-steel,Sour corrosion,H2S influence on CO2 corrosion behavior
R095,"Understanding the synergistic effect of CO2, H2S and fluid flow towards carbon steel corrosion",https://www.sciencedirect.com/science/article/abs/pii/S0042207X21007363,Sour corrosion / flow,Combined CO2-H2S-flow synergy study
R096,"Effect of H2S concentration on the corrosion behavior of pipeline steel under the coexistence of H2S and CO2",https://link.springer.com/article/10.1007/s12613-014-0920-y,Sour corrosion,Concentration-dependent H2S/CO2 study
R097,"Influence of H2S on the general corrosion and sulfide stress cracking of pipelines steels for supercritical CO2 transportation",https://www.sciencedirect.com/science/article/abs/pii/S0010938X21004054,Sour corrosion / SCC,H2S effect on general corrosion + SSC in sCO2 transport
R098,"Corrosion Inhibition of Carbon Steel in a Sour (H2S) Environment by an Acryloyl-Based Polymer",https://pmc.ncbi.nlm.nih.gov/articles/PMC10210039/,Inhibitors / sour,Open-access polymer inhibitor study for sour service
R099,"Carbon steel corrosion monitoring: Why opting for an electroanalytical approach",https://www.sciencedirect.com/science/article/pii/S1572665725003868,Monitoring methodology,Electroanalytical monitoring approaches
R100,"Electrochemical Impedance Spectroscopy (EIS): A Review Study of Basic Aspects of the Corrosion Mechanism Applied to Steels",https://www.intechopen.com/chapters/74147,Methodology review,Open-access EIS methodology review
R101,"An investigation of the formation and destruction of corrosion inhibitor films using EIS",https://www.sciencedirect.com/science/article/abs/pii/0010938X96000479,Inhibitors / methodology,Classic EIS study of inhibitor film dynamics
R102,"A study by EIS and surface analysis of corrosion product layers formed during CO2 corrosion of low alloy steel",https://www.sciencedirect.com/science/article/abs/pii/S0010938X19322978,Corrosion product films / methodology,EIS + surface analysis of product layers
R103,"Cyclic Polarization and EIS Techniques to Rapidly Screen and Assess Pitting Tendencies of Corrosion Inhibitor Actives in Carbon Steel",https://content.ampp.org/ampp/proceedings-abstract/CONF_MAR2023/2023/1/60201,Inhibitors / methodology,Inhibitor screening methodology
R104,"Susceptibility of pipeline girth welds to hydrogen embrittlement and sulphide stress cracking",https://www.researchgate.net/publication/262151542_Susceptibility_of_pipeline_girth_welds_to_hydrogen_embrittlement_and_sulphide_stress_cracking,Welds / SCC,Girth weld susceptibility study
R105,"Hydrogen-Induced Cracking Caused by Galvanic Corrosion of Steel Weld in a Sour Environment",https://pmc.ncbi.nlm.nih.gov/articles/PMC8469944/,Welds / HIC,Open-access HIC via galvanic coupling at welds
R106,"Hydrogen blistering and cracking of high-strength pipeline steel welds produced by electrochemical hydrogen charging",https://www.sciencedirect.com/science/article/abs/pii/S2589152924000887,Welds / hydrogen damage,Electrochemical charging study of weld blistering
R107,"Effect of H2S Corrosion on the Fracture Toughness of the X80 Pipeline Steel Welded Joint",https://pmc.ncbi.nlm.nih.gov/articles/PMC9267761/,Welds / sour corrosion,Open-access fracture-toughness study after sour exposure
R108,"Hydrogen embrittlement susceptibility of X70 pipeline steel weld under a low partial hydrogen environment",https://www.sciencedirect.com/science/article/abs/pii/S0360319920323843,Welds / hydrogen damage,Low-pH2 embrittlement susceptibility study
R109,"General CO2 Corrosion in High Salinity Brines",https://www.researchgate.net/publication/242240117_General_CO2_Corrosion_in_High_Salinity_Brines,Salinity effects,High-salinity brine corrosion-rate study
R110,"Effect of sodium chloride on corrosion of mild steel in CO2-saturated brines",https://www.researchgate.net/publication/251143273_Effect_of_sodium_chloride_on_corrosion_of_mild_steel_in_CO_2_-saturated_brines,Salinity effects,NaCl concentration dependence
R111,"The effect of different brines and temperatures on the competitive degradation mechanisms of CO2 and H2S in API X65 carbon steel",https://www.sciencedirect.com/science/article/abs/pii/S1875510020302596,Salinity / sour corrosion,Brine and temperature interplay with CO2/H2S
R112,"Effect of Salt Concentration on the Corrosion Behavior of Carbon Steel in CO2 Environment",https://www.researchgate.net/publication/293808337_Effect_of_Salt_Concentration_on_the_Corrosion_Behavior_of_Carbon_Steel_in_CO2_Environment,Salinity effects,Salt-concentration corrosion behavior study
R113,"CO2 Corrosion of Carbon Steel: The Synergy of Chloride Ion Concentration and Temperature on Metal Penetration",https://meridian.allenpress.com/corrosion/article/doi/10.5006/3583/447159/CO2-Corrosion-of-Carbon-Steel-The-Synergy-of,Salinity / temperature,Synergy of Cl- concentration and temperature
R114,"Investigation of Individual and Synergistic Effects of Salinity and Temperature on CO2 Corrosion Performance of Low Carbon API N80 Steel",https://link.springer.com/article/10.1007/s11665-022-07439-3,Salinity / temperature,N80 steel salinity-temperature synergy study
R115,"Effect of sodium chloride on corrosion of mild steel in CO2-saturated brines (J. Appl. Electrochem.)",https://link.springer.com/article/10.1007/s10800-011-0290-3,Salinity effects,Electrochemical-society version of NaCl study
